,justice,mercy,duty,honor,forgiveness,punishment,law,freedom,loyalty,sacrifice
justice,1.1920929e-07,0.4589212,0.41983515,0.42339796,0.47549433,0.3507371,0.3091414,0.4995157,0.5605711,0.543956
mercy,0.4589212,-4.7683716e-07,0.55373245,0.42972112,0.19235718,0.52694345,0.6346047,0.5051875,0.419329,0.32450062
duty,0.41983515,0.55373245,-2.3841858e-07,0.40557235,0.507341,0.40314782,0.36053765,0.5372027,0.406417,0.4439596
honor,0.42339796,0.42972112,0.40557235,1.1920929e-07,0.45075935,0.46394318,0.539953,0.5129218,0.2987997,0.37380302
forgiveness,0.47549433,0.19235718,0.507341,0.45075935,1.1920929e-07,0.44914532,0.5898465,0.5398924,0.44387114,0.34166348
punishment,0.3507371,0.52694345,0.40314782,0.46394318,0.44914532,-2.3841858e-07,0.409927,0.6152022,0.5492364,0.39322668
law,0.3091414,0.6346047,0.36053765,0.539953,0.5898465,0.409927,2.3841858e-07,0.56375664,0.63419235,0.58782387
freedom,0.4995157,0.5051875,0.5372027,0.5129218,0.5398924,0.6152022,0.56375664,-1.1920929e-07,0.5793876,0.49828488
loyalty,0.5605711,0.419329,0.406417,0.2987997,0.44387114,0.5492364,0.63419235,0.5793876,-2.3841858e-07,0.36521482
sacrifice,0.543956,0.32450062,0.4439596,0.37380302,0.34166348,0.39322668,0.58782387,0.49828488,0.36521482,2.3841858e-07
